 ,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,mood,"mean(d,e,v)",mood_final
Africa,Toto IV,TOTO,2374M0fQpWi3dLnB54qaLX,4/8/1982,84,295893,0.671,0.257,0.373,7.95E-05,0.0481,0.732,-18.064,0.0323,92.717,9,4,Happy,0.592,Pop Chill
After The Rain,After The Rain,Comet Blue,2XBc2jWnvPqNO2LebVtLaY,8/3/2020,24,116625,0.456,0.993,0.0337,0.948,0.126,0.3,-26.87,0.0334,97.199,0,4,Sad,0.263233333,Lofi
Afterlife,Avenged Sevenfold,Avenged Sevenfold,4QdwsME04RG25KPHcPYoox,10/30/2007,13,351560,0.492,0.000444,0.95,6.22E-05,0.22,0.391,-4.195,0.076,110.027,2,4,Happy,0.611,Pop Chill
Algo Rhythm,Temporär Musik 1-13,One Sentence. Supervisor,0PqJ7LSknltqqMNqPDClNA,10/28/2016,0,210626,0.402,1.19E-05,0.75,0.959,0.122,0.58,-7.358,0.0293,149.941,2,4,Happy,0.577333333,Pop Chill
Alison,Souvlaki,Slowdive,55CenVQ4alvDJ1PS8aYB0m,1993,0,231893,0.279,0.00957,0.423,0.837,0.128,0.291,-12.06,0.038,101.571,4,4,Sad,0.331,Lofi
Alive,Alive,Paris Blohm,2rPJcL8gQauA2nBdRyNZZL,11/16/2018,51,180468,0.494,0.00248,0.847,0,0.0502,0.148,-3.996,0.0537,129.909,0,4,Happy,0.496333333,Chill
All I Want,The Kodaline EP,Kodaline,1XczdQt6RKNkEQfPqUsi3q,9/7/2012,29,306600,0.189,0.113,0.427,0.0923,0.058,0.158,-9.08,0.0449,187.212,0,3,Sad,0.258,Lofi
All Mirrors,All Mirrors,Angel Olsen,4ZQdynvfiayhdoq5lcuCQ1,7/31/2019,1,282026,0.429,0.00299,0.689,0.00193,0.152,0.23,-7.38,0.0379,105.04,7,4,Sad,0.449333333,Chill
All These Things I Hate (Revolve Around Me),The Poison,Bullet For My Valentine,6hZkQjIQBY7HAj4nzLUvdx,9/1/2005,39,225440,0.488,0.0303,0.879,0,0.288,0.483,-3.505,0.0514,94.003,6,3,Happy,0.616666667,Pop Chill
All in the Suit That You Wear,Thank You,Stone Temple Pilots,17Nk1aji6gd26vabky7fMi,11/10/2003,39,219573,0.429,1.94E-05,0.982,0.0185,0.312,0.583,-2.962,0.0617,122.881,2,4,Happy,0.664666667,Hard Rock
All of Me,Love In The Future (Expanded Edition),John Legend,3U4isOIWM3VvDubwSI3y7a,8/30/2013,85,269560,0.422,0.922,0.264,0,0.132,0.331,-7.064,0.0322,119.93,8,4,Sad,0.339,Lofi
All or Nothing (feat. Axel Ehnström) - Deluxe Mix,Less is More (Deluxe),Lost Frequencies,15bAMg00o4VdWmQrlkbfG3,7/14/2017,22,170458,0.737,0.226,0.816,0.453,0.621,0.533,-9.22,0.0411,124.014,4,4,Happy,0.695333333,Hard Rock
Always,Back Into Your System,Saliva,7kpa6MWRrPaF3b6C0DgioK,11/12/2002,63,231200,0.363,0.0122,0.906,0,0.172,0.371,-4.415,0.0615,181.964,1,4,Happy,0.546666667,Pop Chill
Ambre,Wintermusik,Nils Frahm,0suQ6B8Bsp0tFuCXx652Az,12/4/2009,0,227639,0.391,0.992,0.0576,0.947,0.117,0.359,-25.585,0.0342,145.569,10,3,Sad,0.2692,Lofi
Anaviosi,Anaviosi,Alexi Musnitsky,4OWZLr2sLv7ueKPHV7JRNP,7/9/2020,38,174244,0.391,0.995,0.0121,0.946,0.0959,0.118,-24.588,0.0852,68.128,1,4,Sad,0.1737,Lofi
Anchor,Anchor,Novo Amor,6x6XKEUcCJGUACD4Xh7KuP,10/23/2015,0,256282,0.486,0.755,0.356,0.861,0.0986,0.111,-13.649,0.0318,117.141,9,4,Sad,0.317666667,Lofi
Andromeda,Andromeda,Weyes Blood,0L6lVIgGqVHnmR3BIy8GHa,1/17/2019,36,280186,0.463,0.367,0.462,0.0012,0.356,0.189,-7.94,0.0272,131.273,1,4,Sad,0.371333333,Chill
Angel's Song,Angel's Song,Arlo Parks,5hXTMmVXz1Ablgu34BkTz1,11/20/2019,58,197243,0.693,0.894,0.195,0.0325,0.126,0.315,-15.278,0.0446,116.725,11,4,Sad,0.401,Chill
Angry Chair,The Essential Alice In Chains,Alice In Chains,6H0wgcQCOuLYqDuNhMW8KL,7/24/2006,22,288400,0.313,0.0642,0.973,1.22E-06,0.0581,0.118,-3.855,0.109,107.3,8,4,Happy,0.468,Chill
Anthem,Anthem,EDX,1SSAvErVyid5OXzmtGZKkg,3/30/2018,44,158483,0.664,0.00152,0.86,0.894,0.197,0.249,-4.505,0.0345,121.991,7,4,Happy,0.591,Pop Chill
Anthem of Our Dying Day,Page Avenue (US Non-PA Version),Story Of The Year,4sPJgy0CksvmXp9jC0W4gv,9/16/2003,56,216026,0.388,0.0211,0.8,0,0.212,0.357,-6.33,0.0783,194.744,9,3,Happy,0.515,Pop Chill
Are You Gonna Be My Girl,Get Born,Jet,305WCRhhS10XUcH6AEwZk6,9/15/2003,75,213800,0.613,0.00148,0.953,0.000582,0.152,0.537,-3.435,0.0855,105.046,2,4,Happy,0.701,Hard Rock
As I Sleep (feat. Charlee),As I Sleep (feat. Charlee),Tobtok,72qlZsoVPpyFxVjL6GUuYI,4/13/2018,55,193471,0.694,0.0195,0.824,0.0426,0.327,0.202,-6.306,0.161,123.014,8,4,Happy,0.573333333,Pop Chill
Ashes to Ashes,Ashes to Ashes,Warpaint,2lJa0SY7vZpvJ7QDFanOuZ,10/5/2010,51,310226,0.696,0.186,0.871,0.0282,0.173,0.8,-6.482,0.0357,118.938,1,4,Happy,0.789,Hard Rock
Atlavík,Varða,Hugar,6WdO6Ds95sLALCqCOfbDQh,8/23/2019,53,155733,0.535,0.867,0.147,0.797,0.0825,0.238,-25.141,0.0382,126.823,2,4,Sad,0.306666667,Lofi
Auburn Sky,Auburn Sky,Toledo Rains,42BtxDRqFTbE6Jb6rd9QOZ,3/10/2020,48,162829,0.265,0.906,0.035,0.89,0.0932,0.0651,-26.502,0.0359,132.972,4,4,Sad,0.1217,Lofi
Awaken,Awaken,William Duhamel,00ZtJgQax06A96l8sMcmlB,1/2/2020,55,129936,0.346,0.929,0.0943,0.918,0.102,0.109,-13.632,0.0362,127.006,2,3,Sad,0.1831,Lofi
Away From Me,Life On Display,Puddle Of Mudd,4wzaTdhmBgpch7IXu3CskA,1/1/2003,0,238466,0.396,0.00061,0.93,0,0.168,0.195,-2.939,0.1,154.777,8,4,Happy,0.507,Pop Chill
Back Where I Belong (feat. Avicii),Back Where I Belong (feat. Avicii),Otto Knows,78W8wiUIlQ2SnWY9TVowKZ,6/3/2016,56,174202,0.497,0.0306,0.865,0.0679,0.443,0.595,-3.19,0.0644,125.96,0,4,Happy,0.652333333,Hard Rock
Back+,Back+,Ton Snijders,6MrVWgw16iHBGRntjRkGQq,4/10/2020,26,198746,0.383,0.993,0.0197,0.944,0.121,0.113,-28.192,0.0528,67.555,7,3,Sad,0.1719,Lofi
Bad Feeling,Bad Feeling,Muzz,1qUaWLUot3Iik95S09cdSZ,3/12/2020,39,157930,0.512,0.351,0.352,0.74,0.106,0.275,-9.093,0.0354,82.943,5,4,Sad,0.379666667,Chill
Bad Kingdom,Gold,May,7vCuaxRIKElwgjSAo5REkw,1/19/2018,57,193220,0.401,0.934,0.199,0.0064,0.112,0.0744,-14.409,0.0355,118.351,9,4,Sad,0.2248,Lofi
Bad Timing,Bad Timing,Arlo Day,2KSCegx6TosQQEgmhJKNQa,4/15/2019,30,254886,0.471,0.689,0.289,0.000535,0.0865,0.225,-9.784,0.0258,146.352,6,4,Sad,0.328333333,Lofi
Ballad of the Dying Man,Ballad of the Dying Man,Father John Misty,65w8nArxPq2EzOAhteymf0,2/1/2017,0,290736,0.399,0.848,0.443,0.000406,0.0899,0.265,-9.168,0.0272,139.643,5,4,Sad,0.369,Chill
Balloon,Balloon,YuMe,6a9DN96EWRc56Lwl5YD7KL,5/1/2020,34,143212,0.408,0.987,0.00518,0.929,0.12,0.0381,-29.142,0.0355,72.291,5,3,Sad,0.150426667,Lofi
Bat Country,City of Evil,Avenged Sevenfold,6irNz2hSXvd2QJG0vXyBFR,6/6/2005,39,311813,0.541,0.000248,0.968,8.28E-06,0.423,0.505,-4.129,0.0396,125.04,0,4,Happy,0.671333333,Hard Rock
Bayybe 07,Bayybe,Bilo 503,08qO8i2K0Hxl0h8PIncyuH,11/17/2017,50,114195,0.44,0.827,0.384,0.934,0.156,0.0912,-12.331,0.0453,127.938,7,4,Sad,0.305066667,Lofi
Be My Mistake,A Brief Inquiry Into Online Relationships,The 1975,0AG2l0IboWNSwjUkMr2Aq7,11/30/2018,39,256688,0.572,0.835,0.155,0.000137,0.0906,0.0949,-14.405,0.0344,109.923,6,3,Sad,0.273966667,Lofi
Beautiful Life,Beautiful Life,Lost Frequencies,2s25Z079T5KRzfqEQRMQQ4,6/3/2016,31,161463,0.732,0.127,0.52,0.0347,0.139,0.339,-6.684,0.0376,119.979,2,4,Happy,0.530333333,Pop Chill
Beautiful Night,Burden Brothers EP,Burden Brothers,4zhRVs7eqgdroy5E3kKEs2,8/13/2002,38,259529,0.531,0.000508,0.892,0.024,0.144,0.599,-4.54,0.0582,130.133,7,4,Happy,0.674,Hard Rock
Beekweide,Beekweide,Job Roggeveen,199PI6mx1IFrDk8ZMtNTyX,7/10/2020,34,219215,0.321,0.984,0.11,0.963,0.115,0.173,-23.63,0.0345,73.914,8,4,Sad,0.201333333,Lofi
Before You Go,Divinely Uninspired To A Hellish Extent (Extended Edition),Lewis Capaldi,2gMXnyrvIjhVBUZwvLZDMP,11/22/2019,85,215106,0.459,0.604,0.575,0,0.0885,0.183,-4.858,0.0573,111.881,3,4,Sad,0.405666667,Chill
Bennie And The Jets - Remastered 2014,Goodbye Yellow Brick Road (40th Anniversary Celebration/ Super Deluxe Edition),Elton John,3iJxloILmOu2NIRZ0OGyui,10/5/1973,0,322548,0.666,0.251,0.668,5.77E-06,0.499,0.765,-7.961,0.0523,132.666,0,4,Happy,0.699666667,Hard Rock
Better Than Today,Better Than Today,Rhys Lewis,6MLHg35rlksBc5OBcdZvJi,1/4/2019,60,230353,0.387,0.736,0.234,0,0.084,0.408,-8.861,0.0373,78.65,0,4,Sad,0.343,Lofi
Better Together,In Between Dreams,Jack Johnson,4VywXu6umkIQ2OS0m1I79y,1/1/2005,72,207680,0.868,0.308,0.347,2.00E-05,0.11,0.659,-9.529,0.0536,110.059,5,4,Happy,0.624666667,Pop Chill
Betty,Betty,Wilson Trouvé,0yBM8cOHjb6iiMI2eM8pIc,5/29/2020,32,161750,0.171,0.89,0.185,0.94,0.101,0.264,-19.651,0.0348,142.694,9,4,Sad,0.206666667,Lofi
Billinghurst,Damon EP,Jeremy Olander,6B2jQL05apmJlDZtPIxD3R,4/21/2017,0,456585,0.769,0.0305,0.701,0.85,0.0929,0.168,-9.089,0.062,123.011,5,4,Happy,0.546,Pop Chill
Bird,Writing of Blues and Yellows (Deluxe Version),Billie Marten,6DzvC1VHpyTFfLBbAYBa7W,9/23/2016,55,220640,0.235,0.988,0.187,0.00197,0.106,0.118,-12.754,0.0347,85.962,6,4,Sad,0.18,Lofi
Bison on the Plains,Bison on the Plains,Grandaddy,0e0hVla9NkILk2JWOwVCMW,11/19/2018,32,308800,0.476,0.285,0.522,0.0127,0.193,0.0973,-8.159,0.0281,133.874,9,4,Sad,0.3651,Chill
Black Car,Black Car,Beach House,7ESnexsnylx85YfT6ZiSun,5/2/2018,0,251160,0.407,0.344,0.549,0.901,0.111,0.32,-10.244,0.0293,77.473,9,4,Sad,0.425333333,Chill
Blackout,Blackout,(Hed) P.E.,6yTnvHRhUuuaoxy4dHzLGo,2003,37,233266,0.548,0.00016,0.864,0.00262,0.0354,0.5,-6.258,0.0557,95.569,1,4,Happy,0.637333333,Pop Chill
Blame,Blame,Manse,3TSZpRzSEKL1dFfpd1JDoF,6/26/2019,53,180937,0.612,0.619,0.68,0,0.0786,0.346,-4.925,0.0346,127.909,0,4,Happy,0.546,Pop Chill
Blaster,Blaster,Marc Benjamin,1fMZR4DD2mE0iXginD9fOc,11/23/2018,0,159523,0.667,0.0326,0.857,0.464,0.27,0.301,-4.729,0.0468,125.946,2,4,Happy,0.608333333,Pop Chill
Bleed American,Bleed American,Jimmy Eat World,61XspFITuKmAlYdQacNCbF,7/17/2001,63,181493,0.438,0.00842,0.938,1.08E-06,0.806,0.584,-5.611,0.094,160.212,6,4,Happy,0.653333333,Hard Rock
Bloodbuzz Ohio,Bloodbuzz Ohio,SOAK,2pfkaHd8arhESSxyJAou6g,11/25/2019,46,279967,0.441,0.715,0.268,1.49E-06,0.11,0.057,-8.173,0.0308,140.073,6,4,Sad,0.255333333,Lofi
Bloom,Bloom,Hilder Sky,5DP6ow4t5Mmfge0fMRhSJD,5/30/2019,52,121069,0.249,0.945,0.129,0.839,0.17,0.253,-18.167,0.0324,70.59,4,5,Sad,0.210333333,Lofi
Bloom Innocent,Bloom Innocent,Fink,7zNT9GE070fYjnhx6TFWnQ,9/4/2019,20,416353,0.519,0.931,0.236,0.133,0.127,0.283,-18.378,0.0362,80.008,2,4,Sad,0.346,Lofi
Blow,Blow,Yves V,4nX11Rjdh7AuM8Ezb73m1R,5/15/2017,0,165000,0.603,0.0186,0.902,0.683,0.105,0.135,-5.979,0.0494,127.973,5,4,Happy,0.546666667,Pop Chill
Body Rock,Body Rock,Bingo Players,3wcaYUOKVSEbmmGB43YGqf,11/16/2018,46,158212,0.627,0.00919,0.944,0.00311,0.444,0.551,-4.459,0.344,126.078,5,4,Happy,0.707333333,Hard Rock
Boiler,Chocolate Starfish And The Hot Dog Flavored Water (Explicit Version),Limp Bizkit,5UaOg4eymp98fxKyx6SHmB,1/1/2000,0,420266,0.443,0.00393,0.722,0.0155,0.0373,0.167,-6.326,0.0865,111.324,6,4,Sad,0.444,Chill
Bortom Träden,I Blomstertid,Erik Reno,4CFlaEtdgeu4mFmnUApAyl,6/7/2020,48,260564,0.446,0.801,0.0586,0.85,0.0876,0.111,-26.416,0.0416,124.019,8,4,Sad,0.2052,Lofi
Bottom Of The Sea,Bottom Of The Sea,Isaac Elton,5OTdNMpl1EPr3tOLyyRIc3,7/11/2017,48,242213,0.775,0.00681,0.66,0.171,0.22,0.425,-7.929,0.0444,126.022,0,4,Happy,0.62,Pop Chill
Bottom of a Bottle,Shapeshifter,Smile Empty Soul,1XZrMIHtCVJPqK29Mzm44G,4/1/2016,61,221826,0.537,0.00236,0.847,1.16E-06,0.0844,0.459,-5.208,0.0383,106.055,6,4,Happy,0.614333333,Pop Chill
Bouquet with Lilies,Bouquet with Lilies,La Acacia,1j45uvYWACNGDZ0jmKSTuP,10/30/2019,56,216607,0.621,0.716,0.345,0.921,0.091,0.113,-12.106,0.0295,117.683,0,4,Sad,0.359666667,Chill
Break Stuff,Significant Other (Explicit),Limp Bizkit,1rJ1xX2XBC8nesYapeO6Av,6/16/1999,0,166706,0.45,0.0108,0.877,0.000643,0.112,0.663,-6.676,0.156,108.501,8,4,Happy,0.663333333,Hard Rock
Breathe,Breathe,Hans Voller,5q2hzGmdBeXEWuMOlOMOt2,10/28/2019,29,166194,0.612,0.99,0.037,0.947,0.108,0.103,-18.855,0.0408,113.008,11,3,Sad,0.250666667,Lofi
Breathe Me,Colour The Small One,Sia,7jqzZyJJLrpkRFYGpkqSK6,1/1/2004,68,272800,0.552,0.0364,0.643,0.74,0.105,0.212,-7.36,0.0327,120.012,0,4,Happy,0.469,Chill
Brimful of Asha - Norman Cook Remix,Why Try Harder - Greatest Hits,Fatboy Slim,5BegkNkGXa6TUobnxy5LFL,6/1/2006,0,238933,0.663,0.18,0.957,0,0.348,0.937,-2.823,0.0584,125.678,11,4,Happy,0.852333333,Hard Rock
Bruises,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,4Of7rzpRpV1mWRbhp5rAqG,5/17/2019,84,220492,0.736,0.946,0.308,0,0.186,0.361,-7.83,0.0677,111.202,4,4,Happy,0.468333333,Chill
Butterfly,The Gift Of Game,Crazy Town,4BggEwLhGfrbrl7JBhC8EC,11/4/1999,71,216733,0.736,0.00132,0.811,0.000142,0.107,0.609,-4.17,0.081,103.502,9,4,Happy,0.718666667,Hard Rock
Bye Bye Little House,Bye Bye Little House,Ella van der Woude,7AQKjpzLGVBKvTDyoJ7YVK,1/3/2020,30,202405,0.31,0.985,0.0313,0.94,0.263,0.182,-23.55,0.0325,92.857,10,4,Sad,0.174433333,Lofi
California Dreamin',If You Can Believe Your Eyes And Ears,The Mamas & The Papas,63rva3TBizr6x1Yp5uwKfD,1966-03,50,157960,0.554,0.628,0.667,0,0.0486,0.597,-10.226,0.0342,112.749,1,4,Happy,0.606,Pop Chill
Calm Wilderness,Calm Wilderness,Night Sounds,44Co96UhNfnq258r2VybLE,8/22/2019,52,231723,0.186,0.886,0.271,0.961,0.141,0.0684,-17.149,0.0449,115.896,7,4,Sad,0.175133333,Lofi
Car Underwater,What To Do When You Are Dead,Armor For Sleep,4CilIy3dA3P9Tq2NFqKEOX,2005,52,228706,0.435,0.014,0.774,0,0.127,0.448,-5.052,0.0631,147.466,2,4,Happy,0.552333333,Pop Chill
Chariot,B-Sides and Rarities,Beach House,6dB3Uad2TOaJcGKpM3zizO,6/30/2017,42,316507,0.374,0.663,0.426,0.607,0.0886,0.0902,-7.395,0.0315,102.174,10,4,Sad,0.296733333,Lofi
Children Of Today,Children Of Today,Blasterjaxx,2106G7MY2XnVyqij2bJVGH,4/19/2019,58,169384,0.507,0.00892,0.836,0.000598,0.485,0.333,-4.357,0.038,130.027,6,4,Happy,0.558666667,Pop Chill
Chocolate,The 1975,The 1975,4WiiRw2PHMNQE0ad6y6GdD,1/1/2013,66,224673,0.614,0.000532,0.938,0,0.368,0.607,-4.461,0.0611,100.058,11,4,Happy,0.719666667,Hard Rock
Chop Suey!,Toxicity,System Of A Down,2DlHlPMa4M17kufBvI2lEN,9/4/2001,79,210240,0.419,0.000278,0.934,0.0015,0.132,0.286,-3.908,0.12,127.288,7,4,Happy,0.546333333,Pop Chill
City Lights,City Lights,Marlies du Mosch,5OxyHotdy7y789r3UQcHAB,7/3/2020,26,226266,0.341,0.983,0.0582,0.924,0.097,0.0514,-23.103,0.0472,83.05,8,4,Sad,0.1502,Lofi
Clap Your Hands,Clap Your Hands,Sia,18cST7DK31Ab2rTH1POP6A,4/9/2010,44,238466,0.699,0.000532,0.87,0.0219,0.359,0.778,-4.925,0.0546,120.033,0,4,Happy,0.782333333,Hard Rock
Cleansing,Cleansing,Jacco Wynia,6u1ymcw9MTK9mPGy8XdvEb,5/29/2020,36,304217,0.18,0.956,0.0754,0.926,0.11,0.0366,-26.645,0.0346,71.675,9,4,Sad,0.097333333,Lofi
Clear Skies,Clear Skies,Dhyana Thomas,7bKMZYXVYzGMvnHiRDCmjy,4/26/2019,51,162085,0.421,0.94,0.136,0.89,0.113,0.0505,-23.521,0.0305,110.036,11,4,Sad,0.2025,Lofi
Click Click Boom,Every Six Seconds,Saliva,1LMVGL3030W3mGmRrd2hCm,1/1/2001,0,252400,0.607,0.00259,0.935,0.000221,0.195,0.51,-2.918,0.0506,95.97,6,4,Happy,0.684,Hard Rock
Coda,Endeavour,Jakob Ahlbom,2TFQPFUqRtgj1auq9b5PlR,10/4/2019,58,180614,0.351,0.93,0.24,0.904,0.101,0.0968,-15.363,0.034,79.919,9,3,Sad,0.229266667,Lofi
Cold Arms,Wilder Mind,Mumford & Sons,7kpZ9isu48poYKpaAb0wiR,5/1/2015,0,169906,0.431,0.815,0.144,1.10E-06,0.124,0.0491,-12.07,0.039,137.683,11,4,Sad,0.208033333,Lofi
Cold Nights,Cold Nights,Camo Columbo,1q3AoLCoawd8Gpm9wP7sHi,1/3/2020,51,189813,0.941,0.321,0.421,9.34E-05,0.0967,0.787,-7.918,0.0583,107.011,11,4,Happy,0.716333333,Hard Rock
Cold as Stone (feat. Charlotte Lawrence) - Lipless Remix,Cold as Stone (Remixes) (feat. Charlotte Lawrence),Kaskade,6chZg1OMXz9VN3MQCr4cNf,5/4/2018,57,228666,0.619,0.237,0.663,0,0.111,0.142,-6.937,0.0366,123.93,7,4,Happy,0.474666667,Chill
Colgando,Siesta,Barulinho,2dVvMXDWBY0U7VjCjOjVH9,7/31/2020,36,268800,0.567,0.948,0.39,0.966,0.0802,0.133,-13.701,0.0301,99.997,0,4,Sad,0.363333333,Chill
Collapse Into Light,Collapse Into Light,Evin Iris,3jP962JoLAn9p4wCDdx4My,10/18/2019,55,179500,0.305,0.933,0.229,0.904,0.104,0.0562,-18.329,0.0334,121.599,1,4,Sad,0.196733333,Lofi
Come On Eileen,Too Rye Ay (Deluxe Edition),Dexys Midnight Runners,5uzNa0SBGOe5pPnstWHMCt,1982-08,1,273720,0.466,0.413,0.615,0,0.343,0.812,-9.102,0.0492,108.016,0,4,Happy,0.631,Pop Chill
Come Out And Play (Keep ‘Em Separated),Greatest Hits,The Offspring,0Yb5Kfpf3boElZNa61wPdJ,6/21/2005,68,197800,0.476,0.0535,0.856,6.75E-06,0.0846,0.847,-3.764,0.161,158.671,7,4,Happy,0.726333333,Hard Rock
Coming Home,Coming Home,Zoe Connelly,30ACOtgBj1PqZs1erzFZkU,12/11/2019,51,172818,0.198,0.854,0.139,0.856,0.0773,0.106,-18.72,0.031,82.405,5,4,Sad,0.147666667,Lofi
Coming Undone,Coming Undone,Korn,261QAU5PAmYYv0KPr0vc49,2005,0,199773,0.696,0.000855,0.677,0.000247,0.0646,0.551,-4.178,0.0554,150.125,2,4,Happy,0.641333333,Pop Chill
Consequences,Camila,Camila Cabello,7sTtHHrD0zDpmzQzH3zegz,1/12/2018,74,178466,0.455,0.889,0.292,0,0.106,0.43,-6.792,0.0563,84.339,0,5,Sad,0.392333333,Chill
Conversation,Conversation,Lucy Rose,4THgqBGsTYJcNcQWCV92AP,1/10/2019,45,229560,0.242,0.901,0.137,0.0105,0.167,0.0644,-16.332,0.0322,92.454,2,3,Sad,0.1478,Lofi
Count On You - ATFC's C-thru Remix,Count On You (ATFC's C-thru Remix),Autoerotique,7GL2SOvJXs8QVLX0cUADeq,7/16/2018,42,235594,0.825,0.00735,0.925,0.808,0.057,0.567,-7.502,0.0463,123.025,4,4,Happy,0.772333333,Hard Rock
Count That - R3HAB Edit,Count That (R3HAB Edit),Steff da Campo,1J1wnDwBjkFvDVOxNOLVjY,11/9/2018,41,125161,0.686,0.0957,0.955,0.00621,0.0809,0.447,-3.665,0.113,123.978,1,4,Happy,0.696,Hard Rock
Courage,Courage,Ian Wong,0gj8zftpww3PXx8xea7Ygn,2/28/2020,34,162083,0.635,0.994,0.0302,0.952,0.107,0.237,-26.234,0.0401,83.222,1,1,Sad,0.300733333,Lofi
Crash,Crash,Chris Malinchak,1FXlhqcYaiw6KuUYtXdtAi,3/7/2018,57,232981,0.689,0.000455,0.456,0.882,0.07,0.238,-12.307,0.0339,126,2,4,Happy,0.461,Chill
Crawling In The Dark,Hoobastank,Hoobastank,1eK4KsyjAzr2xJ86Tj5SWa,1/1/2001,0,175026,0.592,0.000295,0.932,7.59E-05,0.138,0.698,-4.491,0.0885,93.675,6,4,Happy,0.740666667,Hard Rock
Crazy,St. Elsewhere,Gnarls Barkley,1vxw6aYJls2oq3gW0DujAo,4/24/2006,77,177466,0.855,0.0505,0.587,0.00714,0.105,0.64,-4.589,0.0336,111.97,8,4,Happy,0.694,Hard Rock
Crazy Horses,Crazy Horses,The Osmonds,6LqbJXriVJyqJCd9jYoPqP,10/14/1972,46,153173,0.512,0.215,0.977,0,0.343,0.731,-4.505,0.0671,120.165,2,4,Happy,0.74,Hard Rock
Creep,The Best Of,Radiohead,1ytTeSRAU6IRo2itVDwtPv,4/7/2008,0,238640,0.515,0.0102,0.43,0.000141,0.129,0.104,-9.935,0.0369,91.841,7,4,Sad,0.349666667,Lofi
Crossing,Crossing,The Tides,08Q4GyxnB8ak1ZwHnjwova,3/19/2020,40,153103,0.542,0.935,0.189,0.91,0.0932,0.0755,-16.57,0.0398,116,0,4,Sad,0.268833333,Lofi
